Austria,40.5,Bad Deutsch-Altenburg,2013-08-08,1855
Belarus,38.9,Gomel,2010-08-08,1927
Belgium,41.8,Begijnendijk,2019-07-25,1999-07-01
Bulgaria,45.2,Sadovo / Plovdiv district,1916-07-05,1891
Croatia,42.8,Plo&#269;e,1981-08-04,1861
Cyprus,45.6,Athalassa,2010-08-01,1982-11-01
Czech Republic,40.4,Dob&#345;ichovice,2012-08-20,1999-04-01
Denmark,36.4,Holstebro (in the municipality of Ringk&oslash;bing-Skjern),1975-08-10,1874
Estonia,35.6,V&otilde;ru,1992-08-11,1775
Finland,37.2,Liperi Joensuu lentoasema,2010-07-29,1900-01-01
France,46.0,V&eacute;rargues (H&eacute;rault - Languedoc-Roussillon),2019-06-28,January 1980
Georgia,45.5,Lanchkuti,2000-07-30,1955-01-01
Germany,42.6,Lingen,2019-07-25,1881
Iceland, 30.5,Teigarhorn,1939-06-22,1874
Israel*,54.0,Tirat Tzvi,1942-06-21,1937
Latvia,37.8,Ventspils,2014-08-04,1924
Lithuania,37.5,Zarasai,1994-07-30,no info provided
Luxembourg,40.8,Steinsel,2019-07-25,1838-01-01
Norway,35.6,Nesbyen,1970-06-20,1904-01-01
Poland,40.3,Warszawa-Bielany,2015-07-03,1951-01-01
Republic of Ireland**,33.3,Kilkenny Castle - Kilkenny,1887-06-26,1886
Republic of Moldova,42.4,Falesti,2012-08-07,1921
Romania,44.5,Ion Sion,1951-08-10,1929
Russian Federation (European territory),44.7,Verhniy Baskunchak,1940-08-07,1881-01-01
Slovakia,40.3,Hurbanovo,2007-07-20,1872
Slovenia,40.8,Airport Cerklje,2013-08-08,2004 (recorded with AWS)
Spain,46.9,C&#243;rdoba/Aeropuerto,2017-07-13,1959
Sweden,38.0,M&#229;lilla,1947-06-29,1859
Sweden,38.0,Ultuna,1933-07-09,1859
Switzerland,41.5,Grono,2003-08-11,1971-01-01
The Netherlands,40.7,Gilze-Rijen,2019-07-25,1906-01-01
United Kingdom,38.7,Cambridge Botanic Garden, 2019-07-25,1888
