Austria,26.9,Wien-Innere Stadt,2017-08-02,1855
Austria,26.9,Wien-Innere Stadt,2015-07-23,1855
Belarus,25.8,Lyntupy,unknown,1945
Belgium,25.5,Marilles (Orp-Jauche),2019-07-26,2016-12-01
Bulgaria,35.8,Vratsa/Vratsa district,2012-07-15,1891
Croatia,30.8,Dubrovnik,1994-07-01,1861
Cyprus,31.9,Larnaca Airport,1998-08-08,1976-04-01
Czech Republic,27.2,Byst&#345;ice pod Host&yacute;nem,2013-08-08,1942-10-01
Denmark*,,,,1874
Estonia,24.5,V&otilde;ru,2012-07-29,1866
Finland**,24.2,Kotka Haapasaari,2003-08-01,1961-01-01
France,30.5,Marignana (Corse du Sud - Corsica),2017-08-01,February 2009
Georgia,30.2,Qutaisi,1942-06-23,1936-01-01
Georgia,30.2,Qutaisi,1957-07-24,1936-01-01
Germany,27.6,Weinbiet / Pf&#228;lzerwald,2003-08-12/13,1881
Iceland,19.8,Vatnsskar&eth;sh&oacute;lar,2004-08-11,1949
Israel,36.5,Sedom,2015-09-09,1934
Latvia,23.7,Riga,1931-07-29,1924
Latvia,23.7,Daugavgr&#299;va (Riga),2012-07-29,1924
Lithuania,24.4,Nida,2006-07-08,no info provided
Luxembourg,24.3,Findel Airport,2019-07-26,1838-01-01
Norway,26.1,S&#248;mna - Kval&#248;yfjellet,2019-07-28,1864-05-01
Poland,28.0,Inwa&#322;d,2013-08-08,1951-01-01
Republic of Ireland***,20.9,Derrygreenagh - County Offaly,1989-07-25,1942
Republic of Moldova,28.3,Chisinau,1946-08-13,1891
Romania,31.0,Banloc,1950-07-06,1941
Russian Federation (European territory),45.7,Tula,1971-08-02,1881-01-01
Slovakia,27.3,Pie&#353;&#357;any,2013-07-29,1951 as digitalized (1928 archive)
Slovenia,29.0,Podnanos,2017-08-06,1949
Spain,33.2,Almer&#237;a/Aeropuerto,2001-07-31,1968
Sweden,23.7,&#214;stergarnsholm,2018-08-02,1859
Sweden,23.7,Kullen,1975-08-10,1859
Switzerland,25.3,Meiringen,2013-06-19,1959-01-01
The Netherlands,24.4,Deelen,2018-07-27,1906-01-01
United Kingdom,22.6,Carlton-in-Cleveland, 2019-07-26,1991
